Xiangning LI
Ivett TOTH
Mariah BELL
Mai MIHARA
Dabin CHOI
Rika HONGO
Elizabet TURSYNBAEVA
Ashley WAGNER
Carolina KOSTNER
Wakaba HIGUCHI
Maria SOTSKOVA
Karen CHEN
Anna POGORILAYA
Evgenia MEDVEDEVA
Gabrielle DALEMAN
Kaetlyn OSMOND
Zijun LI
Laurine LECAVELIER
Kailani CRAINE
Angelina KUCHVALSKA
Nicole SCHOTT
Anastasia GALUSTYAN
Nicole RAJICOVA
Loena HENDRICKX
Xiangning LI
Ivett TOTH
Mariah BELL
Mai MIHARA
Dabin CHOI
Rika HONGO
Elizabet TURSYNBAEVA
Ashley WAGNER
Carolina KOSTNER
Wakaba HIGUCHI
Maria SOTSKOVA
Karen CHEN
Anna POGORILAYA
Evgenia MEDVEDEVA
Gabrielle DALEMAN
Kaetlyn OSMOND
Zijun LI
Laurine LECAVELIER
Kailani CRAINE
Angelina KUCHVALSKA
Nicole SCHOTT
Anastasia GALUSTYAN
Nicole RAJICOVA
Loena HENDRICKX
Xiangning LI
Ivett TOTH
Mariah BELL
Mai MIHARA
Dabin CHOI
Rika HONGO
Elizabet TURSYNBAEVA
Ashley WAGNER
Carolina KOSTNER
Wakaba HIGUCHI
Maria SOTSKOVA
Karen CHEN
Anna POGORILAYA
Evgenia MEDVEDEVA
Gabrielle DALEMAN
Kaetlyn OSMOND
Zijun LI
Laurine LECAVELIER
Kailani CRAINE
Angelina KUCHVALSKA
Nicole SCHOTT
Anastasia GALUSTYAN
Nicole RAJICOVA
Loena HENDRICKX
Xiangning LI
Ivett TOTH
Mariah BELL
Mai MIHARA
Dabin CHOI
Rika HONGO
Elizabet TURSYNBAEVA
Ashley WAGNER
Carolina KOSTNER
Wakaba HIGUCHI
Maria SOTSKOVA
Karen CHEN
Anna POGORILAYA
Evgenia MEDVEDEVA
Gabrielle DALEMAN
Kaetlyn OSMOND
Zijun LI
Laurine LECAVELIER
Kailani CRAINE
Angelina KUCHVALSKA
Nicole SCHOTT
Anastasia GALUSTYAN
Nicole RAJICOVA
Loena HENDRICKX
Xiangning LI
Ivett TOTH
Mariah BELL
Mai MIHARA
Dabin CHOI
Rika HONGO
Elizabet TURSYNBAEVA
Ashley WAGNER
Carolina KOSTNER
Wakaba HIGUCHI
Maria SOTSKOVA
Karen CHEN
Anna POGORILAYA
Evgenia MEDVEDEVA
Gabrielle DALEMAN
Kaetlyn OSMOND
Zijun LI
Laurine LECAVELIER
Kailani CRAINE
Angelina KUCHVALSKA
Nicole SCHOTT
Anastasia GALUSTYAN
Nicole RAJICOVA
Loena HENDRICKX
Xiangning LI
Ivett TOTH
Mariah BELL
Mai MIHARA
Dabin CHOI
Rika HONGO
Elizabet TURSYNBAEVA
Ashley WAGNER
Carolina KOSTNER
Wakaba HIGUCHI
Maria SOTSKOVA
Karen CHEN
Anna POGORILAYA
Evgenia MEDVEDEVA
Gabrielle DALEMAN
Kaetlyn OSMOND
Zijun LI
Laurine LECAVELIER
Kailani CRAINE
Angelina KUCHVALSKA
Nicole SCHOTT
Anastasia GALUSTYAN
Nicole RAJICOVA
Loena HENDRICKX
Xiangning LI
Ivett TOTH
Mariah BELL
Mai MIHARA
Dabin CHOI
Rika HONGO
Elizabet TURSYNBAEVA
Ashley WAGNER
Carolina KOSTNER
Wakaba HIGUCHI
Maria SOTSKOVA
Karen CHEN
Anna POGORILAYA
Evgenia MEDVEDEVA
Gabrielle DALEMAN
Kaetlyn OSMOND
Zijun LI
Laurine LECAVELIER
Kailani CRAINE
Angelina KUCHVALSKA
Nicole SCHOTT
Anastasia GALUSTYAN
Nicole RAJICOVA
Loena HENDRICKX
Xiangning LI
Ivett TOTH
Mariah BELL
Mai MIHARA
Dabin CHOI
Rika HONGO
Elizabet TURSYNBAEVA
Ashley WAGNER
Carolina KOSTNER
Wakaba HIGUCHI
Maria SOTSKOVA
Karen CHEN
Anna POGORILAYA
Evgenia MEDVEDEVA
Gabrielle DALEMAN
Kaetlyn OSMOND
Zijun LI
Laurine LECAVELIER
Kailani CRAINE
Angelina KUCHVALSKA
Nicole SCHOTT
Anastasia GALUSTYAN
Nicole RAJICOVA
Loena HENDRICKX
Xiangning LI
Ivett TOTH
Mariah BELL
Mai MIHARA
Dabin CHOI
Rika HONGO
Elizabet TURSYNBAEVA
Ashley WAGNER
Carolina KOSTNER
Wakaba HIGUCHI
Maria SOTSKOVA
Karen CHEN
Anna POGORILAYA
Evgenia MEDVEDEVA
Gabrielle DALEMAN
Kaetlyn OSMOND
Zijun LI
Laurine LECAVELIER
Kailani CRAINE
Angelina KUCHVALSKA
Nicole SCHOTT
Anastasia GALUSTYAN
Nicole RAJICOVA
Loena HENDRICKX
Xiangning LI
Ivett TOTH
Mariah BELL
Mai MIHARA
Dabin CHOI
Rika HONGO
Elizabet TURSYNBAEVA
Ashley WAGNER
Carolina KOSTNER
Wakaba HIGUCHI
Maria SOTSKOVA
Karen CHEN
Anna POGORILAYA
Evgenia MEDVEDEVA
Gabrielle DALEMAN
Kaetlyn OSMOND
Zijun LI
Laurine LECAVELIER
Kailani CRAINE
Angelina KUCHVALSKA
Nicole SCHOTT
Anastasia GALUSTYAN
Nicole RAJICOVA
Loena HENDRICKX
Xiangning LI
Ivett TOTH
Mariah BELL
Mai MIHARA
Dabin CHOI
Rika HONGO
Elizabet TURSYNBAEVA
Ashley WAGNER
Carolina KOSTNER
Wakaba HIGUCHI
Maria SOTSKOVA
Karen CHEN
Anna POGORILAYA
Evgenia MEDVEDEVA
Gabrielle DALEMAN
Kaetlyn OSMOND
Zijun LI
Laurine LECAVELIER
Kailani CRAINE
Angelina KUCHVALSKA
Nicole SCHOTT
Anastasia GALUSTYAN
Nicole RAJICOVA
Loena HENDRICKX
Xiangning LI
Ivett TOTH
Mariah BELL
Mai MIHARA
Dabin CHOI
Rika HONGO
Elizabet TURSYNBAEVA
Ashley WAGNER
Carolina KOSTNER
Wakaba HIGUCHI
Maria SOTSKOVA
Karen CHEN
Anna POGORILAYA
Evgenia MEDVEDEVA
Gabrielle DALEMAN
Kaetlyn OSMOND
Zijun LI
Laurine LECAVELIER
Kailani CRAINE
Angelina KUCHVALSKA
Nicole SCHOTT
Anastasia GALUSTYAN
Nicole RAJICOVA
Loena HENDRICKX
Xiangning LI
Ivett TOTH
Mariah BELL
Mai MIHARA
Dabin CHOI
Rika HONGO
Elizabet TURSYNBAEVA
Ashley WAGNER
Carolina KOSTNER
Wakaba HIGUCHI
Maria SOTSKOVA
Karen CHEN
Anna POGORILAYA
Evgenia MEDVEDEVA
Gabrielle DALEMAN
Kaetlyn OSMOND
Zijun LI
Laurine LECAVELIER
Kailani CRAINE
Angelina KUCHVALSKA
Nicole SCHOTT
Anastasia GALUSTYAN
Nicole RAJICOVA
Loena HENDRICKX
Xiangning LI
Ivett TOTH
Mariah BELL
Mai MIHARA
Dabin CHOI
Rika HONGO
Elizabet TURSYNBAEVA
Ashley WAGNER
Carolina KOSTNER
Wakaba HIGUCHI
Maria SOTSKOVA
Karen CHEN
Anna POGORILAYA
Evgenia MEDVEDEVA
Gabrielle DALEMAN
Kaetlyn OSMOND
Zijun LI
Laurine LECAVELIER
Kailani CRAINE
Angelina KUCHVALSKA
Nicole SCHOTT
Anastasia GALUSTYAN
Nicole RAJICOVA
Loena HENDRICKX
Xiangning LI
Ivett TOTH
Mariah BELL
Mai MIHARA
Dabin CHOI
Rika HONGO
Elizabet TURSYNBAEVA
Ashley WAGNER
Carolina KOSTNER
Wakaba HIGUCHI
Maria SOTSKOVA
Karen CHEN
Anna POGORILAYA
Evgenia MEDVEDEVA
Gabrielle DALEMAN
Kaetlyn OSMOND
Zijun LI
Laurine LECAVELIER
Kailani CRAINE
Angelina KUCHVALSKA
Nicole SCHOTT
Anastasia GALUSTYAN
Nicole RAJICOVA
Loena HENDRICKX
Xiangning LI
Ivett TOTH
Mariah BELL
Mai MIHARA
Dabin CHOI
Rika HONGO
Elizabet TURSYNBAEVA
Ashley WAGNER
Carolina KOSTNER
Wakaba HIGUCHI
Maria SOTSKOVA
Karen CHEN
Anna POGORILAYA
Evgenia MEDVEDEVA
Gabrielle DALEMAN
Kaetlyn OSMOND
Zijun LI
Laurine LECAVELIER
Kailani CRAINE
Angelina KUCHVALSKA
Nicole SCHOTT
Anastasia GALUSTYAN
Nicole RAJICOVA
Loena HENDRICKX
Xiangning LI
Ivett TOTH
Mariah BELL
Mai MIHARA
Dabin CHOI
Rika HONGO
Elizabet TURSYNBAEVA
Ashley WAGNER
Carolina KOSTNER
Wakaba HIGUCHI
Maria SOTSKOVA
Karen CHEN
Anna POGORILAYA
Evgenia MEDVEDEVA
Gabrielle DALEMAN
Kaetlyn OSMOND
Zijun LI
Laurine LECAVELIER
Kailani CRAINE
Angelina KUCHVALSKA
Nicole SCHOTT
Anastasia GALUSTYAN
Nicole RAJICOVA
Loena HENDRICKX
Xiangning LI
Ivett TOTH
Mariah BELL
Mai MIHARA
Dabin CHOI
Rika HONGO
Elizabet TURSYNBAEVA
Ashley WAGNER
Carolina KOSTNER
Wakaba HIGUCHI
Maria SOTSKOVA
Karen CHEN
Anna POGORILAYA
Evgenia MEDVEDEVA
Gabrielle DALEMAN
Kaetlyn OSMOND
Zijun LI
Laurine LECAVELIER
Kailani CRAINE
Angelina KUCHVALSKA
Nicole SCHOTT
Anastasia GALUSTYAN
Nicole RAJICOVA
Loena HENDRICKX
Xiangning LI
Ivett TOTH
Mariah BELL
Mai MIHARA
Dabin CHOI
Rika HONGO
Elizabet TURSYNBAEVA
Ashley WAGNER
Carolina KOSTNER
Wakaba HIGUCHI
Maria SOTSKOVA
Karen CHEN
Anna POGORILAYA
Evgenia MEDVEDEVA
Gabrielle DALEMAN
Kaetlyn OSMOND
Zijun LI
Laurine LECAVELIER
Kailani CRAINE
Angelina KUCHVALSKA
Nicole SCHOTT
Anastasia GALUSTYAN
Nicole RAJICOVA
Loena HENDRICKX
Xiangning LI
Ivett TOTH
Mariah BELL
Mai MIHARA
Dabin CHOI
Rika HONGO
Elizabet TURSYNBAEVA
Ashley WAGNER
Carolina KOSTNER
Wakaba HIGUCHI
Maria SOTSKOVA
Karen CHEN
Anna POGORILAYA
Evgenia MEDVEDEVA
Gabrielle DALEMAN
Kaetlyn OSMOND
Zijun LI
Laurine LECAVELIER
Kailani CRAINE
Angelina KUCHVALSKA
Nicole SCHOTT
Anastasia GALUSTYAN
Nicole RAJICOVA
Loena HENDRICKX
Xiangning LI
Ivett TOTH
Mariah BELL
Mai MIHARA
Dabin CHOI
Rika HONGO
Elizabet TURSYNBAEVA
Ashley WAGNER
Carolina KOSTNER
Wakaba HIGUCHI
Maria SOTSKOVA
Karen CHEN
Anna POGORILAYA
Evgenia MEDVEDEVA
Gabrielle DALEMAN
Kaetlyn OSMOND
Zijun LI
Laurine LECAVELIER
Kailani CRAINE
Angelina KUCHVALSKA
Nicole SCHOTT
Anastasia GALUSTYAN
Nicole RAJICOVA
Loena HENDRICKX
Xiangning LI
Ivett TOTH
Mariah BELL
Mai MIHARA
Dabin CHOI
Rika HONGO
Elizabet TURSYNBAEVA
Ashley WAGNER
Carolina KOSTNER
Wakaba HIGUCHI
Maria SOTSKOVA
Karen CHEN
Anna POGORILAYA
Evgenia MEDVEDEVA
Gabrielle DALEMAN
Kaetlyn OSMOND
Zijun LI
Laurine LECAVELIER
Kailani CRAINE
Angelina KUCHVALSKA
Nicole SCHOTT
Anastasia GALUSTYAN
Nicole RAJICOVA
Loena HENDRICKX
Xiangning LI
Ivett TOTH
Mariah BELL
Mai MIHARA
Dabin CHOI
Rika HONGO
Elizabet TURSYNBAEVA
Ashley WAGNER
Carolina KOSTNER
Wakaba HIGUCHI
Maria SOTSKOVA
Karen CHEN
Anna POGORILAYA
Evgenia MEDVEDEVA
Gabrielle DALEMAN
Kaetlyn OSMOND
Zijun LI
Laurine LECAVELIER
Kailani CRAINE
Angelina KUCHVALSKA
Nicole SCHOTT
Anastasia GALUSTYAN
Nicole RAJICOVA
Loena HENDRICKX
Xiangning LI
Ivett TOTH
Mariah BELL
Mai MIHARA
Dabin CHOI
Rika HONGO
Elizabet TURSYNBAEVA
Ashley WAGNER
Carolina KOSTNER
Wakaba HIGUCHI
Maria SOTSKOVA
Karen CHEN
Anna POGORILAYA
Evgenia MEDVEDEVA
Gabrielle DALEMAN
Kaetlyn OSMOND
Zijun LI
Laurine LECAVELIER
Kailani CRAINE
Angelina KUCHVALSKA
Nicole SCHOTT
Anastasia GALUSTYAN
Nicole RAJICOVA
Loena HENDRICKX
Xiangning LI
Ivett TOTH
Mariah BELL
Mai MIHARA
Dabin CHOI
Rika HONGO
Elizabet TURSYNBAEVA
Ashley WAGNER
Carolina KOSTNER
Wakaba HIGUCHI
Maria SOTSKOVA
Karen CHEN
Anna POGORILAYA
Evgenia MEDVEDEVA
Gabrielle DALEMAN
Kaetlyn OSMOND
Zijun LI
Laurine LECAVELIER
Kailani CRAINE
Angelina KUCHVALSKA
Nicole SCHOTT
Anastasia GALUSTYAN
Nicole RAJICOVA
Loena HENDRICKX
Xiangning LI
Ivett TOTH
Mariah BELL
Mai MIHARA
Dabin CHOI
Rika HONGO
Elizabet TURSYNBAEVA
Ashley WAGNER
Carolina KOSTNER
Wakaba HIGUCHI
Maria SOTSKOVA
Karen CHEN
Anna POGORILAYA
Evgenia MEDVEDEVA
Gabrielle DALEMAN
Kaetlyn OSMOND
Zijun LI
Laurine LECAVELIER
Kailani CRAINE
Angelina KUCHVALSKA
Nicole SCHOTT
Anastasia GALUSTYAN
Nicole RAJICOVA
Loena HENDRICKX
Xiangning LI
Ivett TOTH
Mariah BELL
Mai MIHARA
Dabin CHOI
Rika HONGO
Elizabet TURSYNBAEVA
Ashley WAGNER
Carolina KOSTNER
Wakaba HIGUCHI
Maria SOTSKOVA
Karen CHEN
Anna POGORILAYA
Evgenia MEDVEDEVA
Gabrielle DALEMAN
Kaetlyn OSMOND
Zijun LI
Laurine LECAVELIER
Kailani CRAINE
Angelina KUCHVALSKA
Nicole SCHOTT
Anastasia GALUSTYAN
Nicole RAJICOVA
Loena HENDRICKX
Xiangning LI
Ivett TOTH
Mariah BELL
Mai MIHARA
Dabin CHOI
Rika HONGO
Elizabet TURSYNBAEVA
Ashley WAGNER
Carolina KOSTNER
Wakaba HIGUCHI
Maria SOTSKOVA
Karen CHEN
Anna POGORILAYA
Evgenia MEDVEDEVA
Gabrielle DALEMAN
Kaetlyn OSMOND
Zijun LI
Laurine LECAVELIER
Kailani CRAINE
Angelina KUCHVALSKA
Nicole SCHOTT
Anastasia GALUSTYAN
Nicole RAJICOVA
Loena HENDRICKX
Xiangning LI
Ivett TOTH
Mariah BELL
Mai MIHARA
Dabin CHOI
Rika HONGO
Elizabet TURSYNBAEVA
Ashley WAGNER
Carolina KOSTNER
Wakaba HIGUCHI
Maria SOTSKOVA
Karen CHEN
Anna POGORILAYA
Evgenia MEDVEDEVA
Gabrielle DALEMAN
Kaetlyn OSMOND
Zijun LI
Laurine LECAVELIER
Kailani CRAINE
Angelina KUCHVALSKA
Nicole SCHOTT
Anastasia GALUSTYAN
Nicole RAJICOVA
Loena HENDRICKX
Xiangning LI
Ivett TOTH
Mariah BELL
Mai MIHARA
Dabin CHOI
Rika HONGO
Elizabet TURSYNBAEVA
Ashley WAGNER
Carolina KOSTNER
Wakaba HIGUCHI
Maria SOTSKOVA
Karen CHEN
Anna POGORILAYA
Evgenia MEDVEDEVA
Gabrielle DALEMAN
Kaetlyn OSMOND
Zijun LI
Laurine LECAVELIER
Kailani CRAINE
Angelina KUCHVALSKA
Nicole SCHOTT
Anastasia GALUSTYAN
Nicole RAJICOVA
Loena HENDRICKX
Xiangning LI
Ivett TOTH
Mariah BELL
Mai MIHARA
Dabin CHOI
Rika HONGO
Elizabet TURSYNBAEVA
Ashley WAGNER
Carolina KOSTNER
Wakaba HIGUCHI
Maria SOTSKOVA
Karen CHEN
Anna POGORILAYA
Evgenia MEDVEDEVA
Gabrielle DALEMAN
Kaetlyn OSMOND
